is_mt,latitude,longitude
1,40.7115373,-73.986744
1,40.7109059,-74.014457
0,40.6837417,-73.9952334
0,40.6123144,-73.9499614
0,40.6765627,-73.8729857
0,40.638351,-73.9088843
0,40.6659178,-73.9254639
1,40.750766,-73.9744433
0,40.5627682,-74.1808665
0,40.5679665,-74.1230933
0,40.5781233,-73.9590155
0,40.68866,-73.92274
0,40.614304,-74.0976346
0,40.700428,-73.90011
0,40.694477,-73.80201
0,40.6866823,-73.9793644
0,40.758854,-73.830124
0,40.741978,-73.857605
1,40.7067235,-74.0067808
0,40.61679,-73.92373
0,40.7277544,-73.9572421
1,40.7131354,-74.0040581
0,40.7139464,-73.9406759
0,40.7214535,-73.8439779
0,40.5984049,-73.9463456
0,40.751602,-73.93384
1,40.736562,-74.0010934
0,40.5962568,-73.766834
0,40.7494008,-73.8757233
0,40.7504323,-73.8778039
0,40.6343932,-73.893235
0,40.6094024,-74.0901074
1,40.7166831,-73.9824286
1,40.7407326,-73.9817618
0,40.76376,-73.82894
0,40.5582197,-74.1775684
1,40.7339784,-73.9866782
1,40.7206259,-73.9949711
1,40.8523212,-73.938774
0,40.6631828,-73.9624487
0,40.7564741,-73.9472651
0,40.741289,-73.8747966
0,40.6763291,-73.8654621
0,40.7357781,-73.7465392
1,40.7428308,-74.0076975
1,40.8202957,-73.9437749
0,40.6770483,-73.9800307
1,40.7997602,-73.9662075
0,40.74504,-73.77657
1,40.7322143,-73.9986108
1,40.7578281,-73.9930696
1,40.7986223,-73.9416189
0,40.7234868,-73.9516457
0,40.6423846,-73.9804195
1,40.7489858,-73.979955
0,40.7085545,-73.8390125
0,40.7666481,-73.8701713
0,40.6725954,-73.8822616
0,40.7127835,-73.9372465
0,40.6498163,-74.0030343
1,40.8155101,-73.9356323
0,40.6164151,-74.1035089
0,40.5979254,-73.9871915
1,40.747925,-73.973607
1,40.8050976,-73.9548735
0,40.6755444,-73.9110038
1,40.7285961,-73.9876715
1,40.7251925,-73.9870443
1,40.762859,-73.9894015
0,40.6611221,-74.0006019
0,40.5842015,-74.0947104
1,40.7642781,-73.9730158
1,40.7132541,-73.9775851
1,40.7939517,-73.974163
0,40.656762,-73.9601349
0,40.684387,-74.00302
0,40.686913,-73.79438
0,40.7081389,-73.8030238
0,40.6986937,-73.8340667
0,40.742196,-73.7140252
0,40.7532637,-73.8644477
1,40.8232596,-73.9429233
1,40.7194507,-74.0102922
0,40.6072872,-74.0887612
0,40.7421876,-73.9188973
1,40.748985,-73.979965
1,40.7180184,-73.9999567
0,40.755657,-73.94569
0,40.691299,-73.9454956
0,40.5993145,-73.9729096
0,40.7675496,-73.9120324
0,40.656544,-73.90546
1,40.7252147,-73.9726636
0,40.6671159,-73.8346499
0,40.666396,-73.7517593
0,40.664112,-73.94777
0,40.7451683,-73.8213811
0,40.6131872,-73.9748921
0,40.7841692,-73.8467414
0,40.5876354,-74.0911185
0,40.7218434,-73.9044338
0,40.6870248,-73.9762057
1,40.721565,-73.99644
0,40.6927648,-73.9457865
0,40.7023714,-73.9069502
1,40.7529363,-73.9854869
0,40.6022303,-73.9342642
0,40.5967352,-74.0704403
0,40.6345388,-74.0033903
0,40.6584196,-73.92624
1,40.74406,-74.00682
0,40.6969956,-73.9547447
1,40.734867,-74.0034
0,40.6803133,-73.9433125
0,40.633111,-73.9721609
0,40.6502277,-73.9282635
1,40.7728663,-73.9895407
0,40.7653588,-73.7442823
